text,label,sentiment,word_count,avg_word_length,original_label,split,text_original,text_clean,token_count,text_length_clean,word_count_clean,avg_word_length_clean
looking forward to a long weekend in charlotte,1,positive,8,5.75,4,train,looking forward to a long weekend in charlotte,looking forward to a long weekend in charlotte,8,46,8,4.875
what do you do when you have absolutely zero self confidence i cant revise properly i just dont belive in myself,0,negative,21,5.333333333333333,0,train,what do you do when you have absolutely zero self confidence i cant revise properly i just dont belive in myself,what do you do when you have absolutely zero self confidence i cant revise properly i just dont belive in myself,21,112,21,4.380952380952381
jackalltimelow you must be more careful you could have been torn apart out there or at least had your favorite shirt ripped off of you,0,negative,25,5.36,0,train,jackalltimelow you must be more careful you could have been torn apart out there or at least had your favorite shirt ripped off of you,jackalltimelow you must be more careful you could have been torn apart out there or at least had your favorite shirt ripped off of you,25,134,25,4.4
westonsupermum i dont watch corrie i havent really got any thoughts on her but leather trousers is never a good luck lol,0,negative,22,5.454545454545454,0,train,westonsupermum i dont watch corrie i havent really got any thoughts on her but leather trousers is never a good luck lol,westonsupermum i dont watch corrie i havent really got any thoughts on her but leather trousers is never a good luck lol,22,120,22,4.5
thedrome this was a great time sorry i couldnt stay longer,0,negative,11,5.2727272727272725,0,train,thedrome this was a great time sorry i couldnt stay longer,thedrome this was a great time sorry i couldnt stay longer,11,58,11,4.363636363636363
timidheathen my parents never met his i didnt even meet them im sure ill see him again one day,1,positive,19,4.947368421052632,4,train,timidheathen my parents never met his i didnt even meet them im sure ill see him again one day,timidheathen my parents never met his i didnt even meet them im sure ill see him again one day,19,94,19,4.0
temporarily cant ask chacha anymore questions qendrik,0,negative,7,7.571428571428571,0,train,temporarily cant ask chacha anymore questions qendrik,temporarily cant ask chacha anymore questions qendrik,7,53,7,6.714285714285714
paulfidalgo google me or check out comcastcares twitter page im the real deal,1,positive,13,5.923076923076923,4,train,paulfidalgo google me or check out comcastcares twitter page im the real deal,paulfidalgo google me or check out comcastcares twitter page im the real deal,13,77,13,5.0
mrsddoubleu thats awesome congrats,1,positive,4,8.5,4,train,mrsddoubleu thats awesome congrats,mrsddoubleu thats awesome congrats,4,34,4,7.75
colorthatdanii im just kidding dani slumdog made me feel kinda bad about my life,0,negative,14,5.714285714285714,0,train,colorthatdanii im just kidding dani slumdog made me feel kinda bad about my life,colorthatdanii im just kidding dani slumdog made me feel kinda bad about my life,14,80,14,4.785714285714286
tummy aches school tomorrow i should try and go to first period on time,0,negative,14,5.071428571428571,0,train,tummy aches school tomorrow i should try and go to first period on time,tummy aches school tomorrow i should try and go to first period on time,14,71,14,4.142857142857143
would love to sing out loud but am still at work and everyone would be starin at me,1,positive,18,4.611111111111111,4,train,would love to sing out loud but am still at work and everyone would be starin at me,would love to sing out loud but am still at work and everyone would be starin at me,18,83,18,3.6666666666666665
getting ready to go to the beach,1,positive,7,4.571428571428571,4,train,getting ready to go to the beach,getting ready to go to the beach,7,32,7,3.7142857142857144
i knew wed get may gray weather dont mind it at all good luck dodgers happy mothers day mom and to everyone who is a mom,1,positive,26,4.615384615384615,4,train,i knew wed get may gray weather dont mind it at all good luck dodgers happy mothers day mom and to everyone who is a mom,i knew wed get may gray weather dont mind it at all good luck dodgers happy mothers day mom and to everyone who is a mom,26,120,26,3.6538461538461537
margiethiel i honestly dont know what is going on my wonderful little neighborhood is rapidly declining,0,negative,16,6.4375,0,train,margiethiel i honestly dont know what is going on my wonderful little neighborhood is rapidly declining,margiethiel i honestly dont know what is going on my wonderful little neighborhood is rapidly declining,16,103,16,5.5
